name,gender,birth,age,height,tel
Thor Odinson,0,1982-6-13,30,1.67,13958532741
Black Panther,1,1983-8-26,32,1.63,15634732773
Vision,0,1983-2-16,35,1.59,15919989799
Scarlet Witch,0,1981-1-29,35,1.82,15120102156
Wasp,1,1986-7-18,30,1.5,15649958060
Black Panther,1,2000-7-6,29,1.69,15091026092
Winter Soldier,1,1983-8-6,39,1.52,15234642699
Ant Man,0,1979-11-29,31,1.48,18687085254
Iron Man,0,1978-12-23,36,1.69,15996291703
Black Panther,0,1993-11-10,36,1.59,13522109067
Ant Man,0,1990-6-10,43,1.65,13366236395
Black Panther,1,1978-5-22,28,1.68,13814279976
Captain Marvel,0,1978-1-20,24,1.81,15112402176
Captain America,0,1980-11-26,39,1.6,18756876020
Thor Odinson,1,1985-7-23,40,1.8,15852158388
Thor Odinson,1,1981-2-3,25,1.68,14715564684
Wasp,1,1989-6-10,36,1.65,18598377083
Captain Marvel,0,1995-10-23,30,1.79,18774246120
Wasp,1,1986-12-28,33,1.78,13064806852
Wasp,0,1994-2-15,38,1.69,13412871109
